Тема,Ссылка,Ответы,Просмотры,Автор,Последнее обновление
Массовый падёж коров. При вскрытии - страшная картина. Фото,https://fermer.ru/forum/419/padezh-korov-382692,7,857,Лина26,"от wasia habiboolin пн, 31.03.2025 - 00:11"
"Годовалый бык сильно худеет. Ноги трясутся, ест вяло, но жвачку жуёт",https://fermer.ru/forum/567/byk-silno-hudeet-nogi-tryasutsya-384105,8,343,goalhome,"от ПМД сб, 22.03.2025 - 15:46"
На задней ноге быка шишка. Фото  Опасно ли это?,https://fermer.ru/forum/567/na-zadney-noge-byka-shishka-368622,1,1216,joxipa,"от Кострома предпр... вс, 02.02.2025 - 09:55"
В хозяйстве стали рождаться от нетелей телята с кривыми ногами. В коленных и путовых суставам.,https://fermer.ru/forum/567/proshu-pomoshchi-u-specialistov-303833,18,6186,Георгий63,"от ZABAIKALKA вс, 26.01.2025 - 20:53"
"Обнаружил у коровы в районе правой передней лопатки ранку, лысинку - вроде как зацепилась где-то и ободрала шерсть",https://fermer.ru/forum/428/kozhnoe-zabolevanie-u-korovy-383410,7,393,21_Alex,"от 21_Alex чт, 16.01.2025 - 15:54"
Консультации ветеринара практика. КРС.,https://fermer.ru/forum/veterinariya-krs-krupnyy-rogatyy-skot-zhivotnovodstvo/208715,"10,340",624505,Вадим Прядко,"от Николаич 777 чт, 21.11.2024 - 21:59"
Весенний падеж скота,https://fermer.ru/forum/564/vesenniy-padezh-skota-380621,5,1190,Александр Федотов 3,"от magafx ср, 20.11.2024 - 03:29"
СОТРЯСЕНИЕ МОЗГА У КОРОВЫ!,https://fermer.ru/forum/567/sotryasenie-mozga-u-korovy-382969,0,203,Татьяна1963,"от Татьяна1963 вт, 29.10.2024 - 11:53"
Корова падает на ноги,https://fermer.ru/forum/567/korova-padaet-na-nogi-382880,0,239,Татьяна1963,"от Татьяна1963 сб, 19.10.2024 - 07:31"
У коровы появилась опухоль в конце шеи в начале грудинка под кожей. Фото.,https://fermer.ru/forum/419/pomogite-360005,9,6530,Elena707033,"от Владимир 774 пн, 14.10.2024 - 18:49"
Болезни сосков у коров,https://fermer.ru/forum/zhivotnovodstvo/krupnyi-rogatyi-skot/veterinariya-krs/187657,28,58356,Оксана42,"от Маремьяна Ермоленко ср, 09.10.2024 - 17:56"
Нарост на соске у коровы,https://fermer.ru/forum/567/narost-na-soske-u-korovy-382668,2,376,Мария2024,"от dywdex вс, 06.10.2024 - 14:17"
Телки 6 месяцев перестают есть пить на следующий день начинают ходить как слепые качаются как пьяные и ходят то по кругу,https://fermer.ru/forum/567/telki-6-mesyacev-hodyat-kak-payanye-382341,1,330,Александр141266,"от Александр141266 пт, 13.09.2024 - 13:35"
Желтушность слизистых у теленка,https://fermer.ru/forum/567/zheltushnost-slizistyh-u-telenka-382100,0,284,Alexandra Herm,"от Alexandra Herm вс, 18.08.2024 - 14:03"
проблемы с сосками у коровы,https://fermer.ru/forum/zhivotnovodstvo/krupnyi-rogatyi-skot/veterinariya-krs/198011,6,9974,Meri.vg,"от Дарьяф сб, 10.08.2024 - 16:38"
"Корова переболела маститом. После отёла у молока изменился цвет, стал более жёлтым, и появился неприятный запах. Что сделать?",https://fermer.ru/forum/419/mastit-u-korovy-i-ego-posledstviya-381710,2,516,Татьяна 161,"от Татьяна 161 пн, 08.07.2024 - 21:44"
Анализы на РИД в разных лабораториях разный. Как такое возможно?,https://fermer.ru/forum/567/analizy-na-rid-381612,9,585,Татьяна Морщак,"от Ираида Иннокентьевна чт, 04.07.2024 - 13:29"
"После отёла у коровы пошли болячки по ногам, по вымени, ставили уколы. После уколов пошли слюни и у телёнка стали слюни бежать",https://fermer.ru/forum/567/podskazhite-pozhaluysta-slyuni-u-korovy-posle-otyola-380773,0,772,Иван03,"от Иван03 вс, 21.04.2024 - 09:47"
"У телёнка выросли шишки, вчера надулась под хвостом, сегодня на животе, от еды отказывается. Фото",https://fermer.ru/forum/567/pomogite-pozhaluysta-ochen-srochno-380329,2,1385,Екатеринааа,"от Maksat сб, 23.03.2024 - 17:03"
"Корова заболела. Третий отёл. 4 дня назад упала на ноги, пропала жвачка, рога холодные, корову начало трусить, голову держит.",https://fermer.ru/forum/419/krs-bolezn-379983,1,1202,Арина Кулагина,"от Ясень чт, 22.02.2024 - 09:52"
Слабеет теленок,https://fermer.ru/forum/veterinariya-krs/136859,538,228462,ROMASHA,"от ILDARTIR вт, 30.01.2024 - 21:18"
Бородавки,https://fermer.ru/forum/veterinariya-krs/89414,28,51226,Rebus67,"от Юлька-пулька вс, 28.01.2024 - 09:45"
Есть ли в России абсолютно чистые хозяйства по лейкозу?,https://fermer.ru/forum/419/leykoz-336126,20,2435,Шурави,"от Шурави пт, 08.12.2023 - 06:14"
"У нетели 4,5 месяца стельности, пол соска было очень твердым и увеличенным. Через 2 дня сосок увеличился увеличился в 10 раз",https://fermer.ru/forum/567/u-neteli-45-mesyaca-stelnosti-pol-soska-bylo-ochen-tverdym-i-uvelichennym-cherez-2-dnya-sosok-uvelichilsya-uvelichilsya-v-10-raz-378802,1,764,Nataniiya,"от Moderator ср, 15.11.2023 - 11:02"
Что за болячка такая?  Что можно сделать? Фото,https://fermer.ru/forum/419/veterenariya-378192,13,1308,Булат Бахитов,"от Ираида Иннокентьевна вт, 10.10.2023 - 22:16"
У коровы был сильный удар по вымени шла кровь с молоком и сильные сгустки крови мы вылечили. Сейчас опухла одна доля вымени,https://fermer.ru/forum/567/opuhlo-odna-dolya-vymeni-377630,0,1195,Ирина Матвейчук 1,"от Ирина Матвейчук 1 вс, 27.08.2023 - 18:38"
Лейкоз КРС,https://fermer.ru/forum/veterinariya-krs-krupnyy-rogatyy-skot-zhivotnovodstvo/47434,328,63176,Неизвестно,"от Михаил 01 регион пн, 21.08.2023 - 22:50"
Нагноение у коровы. Фото Что такое и как лечить?,https://fermer.ru/forum/567/bolezni-krs-377234,0,1420,С.Тереховка,"от С.Тереховка сб, 29.07.2023 - 12:18"
У коровы раздулся левый бок(фото),https://fermer.ru/forum/567/u-korovy-razdulsya-levyy-bokfoto-377200,1,1586,Александр141266,"от Ираида Иннокентьевна чт, 27.07.2023 - 13:07"
Корова ест землю!!!,https://fermer.ru/forum/veterinariya-krs-krupnyy-rogatyy-skot-zhivotnovodstvo/226216,5,12759,Lara.66,"от Бри Ван де Камп ср, 26.07.2023 - 04:34"
"Пятимесячный бычок не встает, лежит на боку. Стул в норме, ел, от питья отказывается",https://fermer.ru/forum/419/bychok-ne-vstaet-lezhit-na-boku-376997,0,1124,Vikochkina,"от Vikochkina ср, 12.07.2023 - 05:34"
"У бычка (5 месяцев) кал темно-зеленого, черного цвета, жвачку не жуёт, ест мало. Скрипит зубами",https://fermer.ru/forum/567/pomogite-pozhaluysta-zabolel-bychok-376621,1,886,Надежда1990,"от dywdex чт, 15.06.2023 - 15:25"
Лечение серозного мастита после отела. Первотелка отелилась 10.05.23г. Одна доля увеличенная и уплотненная.,https://fermer.ru/forum/567/lechenie-seroznogo-mastita-posle-otela-pervotelka-otelilas-100523g-odna-dolya-uvelichennaya-i-uplotnennaya-376573,0,434,Марина Хрисанова,"от Марина Хрисанова вс, 11.06.2023 - 09:38"
корова отравилась.и перестала доится,https://fermer.ru/forum/567/korova-otravilasi-perestala-doitsya-376448,4,633,iseki tl 2701,"от iseki tl 2701 пт, 02.06.2023 - 15:43"
Вирусный папилломатоз КРС.,https://fermer.ru/forum/veterinariya-krs/164503,5,59324,Leila KLR,"от Верная13 сб, 27.05.2023 - 14:45"
Что у меня в мясе? Фото,https://fermer.ru/forum/567/srochno-nuzhna-pomoshch-chto-u-menya-v-myase-299234,18,93326,Олеся Ю.,"от Баба Луша ср, 24.05.2023 - 13:23"
Нарост на сосках. Что делать? Фото,https://fermer.ru/forum/308/chto-etopodskazhite-376163,2,1172,Aleksandr Zhann...,"от В.Юрьевич вс, 14.05.2023 - 14:06"
"Тёлочка стала чахнуть: появилась одышка или что-то подобное этому, стала горбатиться, кал, как у овечки. Сегодня плохо встаёт.",https://fermer.ru/forum/567/telyonok-ploho-vstayot-375801,64,2304,Лилия Корниевец,"от Лилия Корниевец чт, 27.04.2023 - 18:20"
"У 29 из 30 коров определили бруцеллез. Бык отрицательный, телята отрицательные. Возможно ли такое?",https://fermer.ru/forum/567/brucellez-375966,0,548,Сссс222,"от Сссс222 ср, 26.04.2023 - 04:15"
У коровы после отёла спустя 3 недели распух правый седалищный бугор. Фото,https://fermer.ru/forum/567/problema-korova-posle-otela-375830,2,868,Романцево,"от Stepnoj 2 вс, 16.04.2023 - 12:05"
"Корова отелилась, но послед не вышел. делали чистку. Перестала есть. Только вода, температура 40 Итог: летальный исход.",https://fermer.ru/forum/223/zabolela-korova-375825,0,797,Виноградик,"от Виноградик сб, 15.04.2023 - 16:30"
Мастит- приговор? Или боремся дальше?!!,https://fermer.ru/forum/zhivotnovodstvo/krupnyi-rogatyi-skot/veterinariya-krs/203580,35,26449,Asif,"от Ирина14 пт, 14.04.2023 - 12:01"
Обезроживание телят.  Можно ли использовать марганцовку?,https://fermer.ru/forum/567/obezrozhivanie-telyat-375257,1,764,Ольга Косухина 1977,"от Ирина14 ср, 22.03.2023 - 13:50"
