Название,Тип,Год запуска,Максимальная скорость (км/ч),Страна производитель
Аполлон-11,Лунный модуль,1969,39068,США
Союз-ТМ,Космический корабль,2002,27720,Россия
Фалькон-9,Ракета-носитель,2010,27700,США
Юнион-2,Космический корабль,1999,28000,Россия
Ариан-5,Ракета-носитель Союз,1996,40721,Европейский
"Шаттл ""Дискавери""",Космический корабль,1984,27480,США
Тяньгун-1,Космическая станция,2011,28000,Китай
Прогресс-М,Грузовой корабль,2000,28155,Россия
Гагарин-1,Космический корабль,2018,30000,Россия
Старшот,Межпланетная зондовая миссия,2022,72000,США
СпейсХоппер,Пилотируемый космический корабль,2020,28000,США
Альфа-Центавр-1,Межзвездный зонд,2030,200000,Международный проект
Сатурн-V,Ракета-носитель,1967,40190,США
Тианьшу-2,Космическая станция,2025,30000,Китай
Дракон,Грузовой космический корабль,2012,28000,США
Восток-1,Космический корабль,1961,27000,СССР
Протон-М,Ракета-носитель,2001,30800,Россия
Арес-1,Ракета-носитель,2030,37000,США
Сентинел,Космический телескоп,2022,65000,Международный проект
Пегас,Грузовой космический корабль,1988,28000,США
